Core: ddr3_dimm0_p0 - Instance: DramUserInst_c0|DIMM_0|ddr3_dimm0_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 850mV 100C Model)",0.328,0.375
"Bus Turnaround Time (Slow 850mV 100C Model)",6.466,--
"Core (Slow 850mV 100C Model)",0.23,0.116
"Core Recovery/Removal (Slow 850mV 100C Model)",0.811,0.179
"Postamble (Slow 850mV 100C Model)",0.369,0.369
"Read Capture (Slow 850mV 100C Model)",0.217,0.185
"Read Resync (Slow 850mV 100C Model)",2.352,17.588
"Write (Slow 850mV 100C Model)",0.174,0.174
"Write Leveling tDQSS (Slow 850mV 100C Model)",0.323,0.323
"Write Leveling tDSS/tDSH (Slow 850mV 100C Model)",0.347,0.347
"Address Command (Slow 850mV 0C Model)",0.384,0.374
"Bus Turnaround Time (Slow 850mV 0C Model)",6.582,--
"Core (Slow 850mV 0C Model)",0.245,0.181
"Core Recovery/Removal (Slow 850mV 0C Model)",1.058,0.266
"Postamble (Slow 850mV 0C Model)",0.355,0.355
"Read Capture (Slow 850mV 0C Model)",0.219,0.187
"Read Resync (Slow 850mV 0C Model)",2.326,17.541
"Write (Slow 850mV 0C Model)",0.211,0.211
"Write Leveling tDQSS (Slow 850mV 0C Model)",0.323,0.323
"Write Leveling tDSS/tDSH (Slow 850mV 0C Model)",0.347,0.347
"Address Command (Fast 850mV 100C Model)",0.417,0.4
"Bus Turnaround Time (Fast 850mV 100C Model)",6.776,--
"Core (Fast 850mV 100C Model)",0.127,0.082
"Core Recovery/Removal (Fast 850mV 100C Model)",1.994,0.156
"Postamble (Fast 850mV 100C Model)",0.407,0.407
"Read Capture (Fast 850mV 100C Model)",0.225,0.201
"Read Resync (Fast 850mV 100C Model)",2.587,17.841
"Write (Fast 850mV 100C Model)",0.214,0.214
"Write Leveling tDQSS (Fast 850mV 100C Model)",0.338,0.338
"Write Leveling tDSS/tDSH (Fast 850mV 100C Model)",0.362,0.362
"Address Command (Fast 850mV 0C Model)",0.464,0.377
"Bus Turnaround Time (Fast 850mV 0C Model)",6.881,--
"Core (Fast 850mV 0C Model)",0.129,0.121
"Core Recovery/Removal (Fast 850mV 0C Model)",2.133,0.186
"Postamble (Fast 850mV 0C Model)",0.362,0.362
"Read Capture (Fast 850mV 0C Model)",0.238,0.214
"Read Resync (Fast 850mV 0C Model)",2.603,17.851
"Write (Fast 850mV 0C Model)",0.229,0.229
"Write Leveling tDQSS (Fast 850mV 0C Model)",0.338,0.338
"Write Leveling tDSS/tDSH (Fast 850mV 0C Model)",0.362,0.362
